food_phrase,item_num,water,cals,protein,lipid,carb
add bacon,10124,12.32,541,37.04,41.78,1.43
ahi tuna,15118,59.09,184,29.91,6.28,0
almond butter,12195,1.64,614,20.96,55.5,18.82
almond joy,19065,8.2,479,4.13,26.93,59.51
almond joys,19065,8.2,479,4.13,26.93,59.51
almonds,12061,4.7,575,21.22,49.42,21.67
american cheese,1253,39.61,371,18.13,31.79,3.7
an apple,9003,85.56,52,0.26,0.17,13.81
an apple pie,18302,47.3,265,2.4,12.5,37.1
an egg,1129,74.62,155,12.58,10.61,1.12
an ice cream,19095,61,207,3.5,11,23.6
an ice cream cone,21028,63.64,166,4.24,4.86,26.36
an ice cream sandwich,1238,48.9,237,4.29,8.57,37.14
an ice cream truck,19095,61,207,3.5,11,23.6
an orange,9200,86.75,47,0.94,0.12,11.75
anchovies,15002,50.3,210,28.89,9.71,0
angel food cake,18086,33.2,258,5.9,0.8,57.8
angel hair pasta,20094,68.56,131,5.15,1.05,24.93
apple butter,19294,56.45,173,0.39,0.3,42.47
apple cider donuts,18248,22.88,418,5.87,23.55,45.63
apple crisp,19186,62.91,161,1.75,3.43,30.84
apple festival,9003,85.56,52,0.26,0.17,13.81
apple fritter,18319,37.6,316,3,16.1,42.6
apple fritters,18319,37.6,316,3,16.1,42.6
apple jacks,8003,2.5,366,5,1.9,88.2
apple orchard,9003,85.56,52,0.26,0.17,13.81
apple picking,9003,85.56,52,0.26,0.17,13.81
apple pie,18302,47.3,265,2.4,12.5,37.1
apple pie and,18302,47.3,265,2.4,12.5,37.1
apple pies,18302,47.3,265,2.4,12.5,37.1
apple sauce,9019,88.22,42,0.17,0.1,11.27
applepie,18302,47.3,265,2.4,12.5,37.1
apples,9003,85.56,52,0.26,0.17,13.81
applesauce,9019,88.22,42,0.17,0.1,11.27
apricot,9021,86.35,48,1.4,0.39,11.12
apricots,9021,86.35,48,1.4,0.39,11.12
artichoke,11007,84.94,47,3.27,0.15,10.51
asparagus,11011,93.22,20,2.2,0.12,3.88
ate a whole pizza,21299,43.17,266,11.39,9.69,33.33
ate pizza,21299,43.17,266,11.39,9.69,33.33
avocado,9037,73.23,160,2,14.66,8.53
avocados,9037,73.23,160,2,14.66,8.53
awesome pizza,21299,43.17,266,11.39,9.69,33.33
bacon,10124,12.32,541,37.04,41.78,1.43
bacon and,10124,12.32,541,37.04,41.78,1.43
bacon and eggs,1128,69.47,196,13.61,14.84,0.83
bacon and eggs,10124,12.32,541,37.04,41.78,1.43
bacon cheese burger,21097,46.85,282,15.78,15.86,18.89
bacon cheeseburger,21097,46.85,282,15.78,15.86,18.89
bacon cheeseburger with,21097,46.85,282,15.78,15.86,18.89
bacon fat,4609,0,897,0,99.5,0
bacon grease,4609,0,897,0,99.5,0
bacon is,10124,12.32,541,37.04,41.78,1.43
bacon n eggs,1128,69.47,196,13.61,14.84,0.83
bacon n eggs,10124,12.32,541,37.04,41.78,1.43
bacon on,10124,12.32,541,37.04,41.78,1.43
bacon strips,10124,12.32,541,37.04,41.78,1.43
bacon wrapped,10124,12.32,541,37.04,41.78,1.43
bacon wrapped dates,10124,12.32,541,37.04,41.78,1.43
bacon wrapped dates,9087,20.53,282,2.45,0.39,75.03
bacon wrapped hot dog,21118,53.96,247,10.6,14.84,18.4
bacon wrapped hot dog,10124,12.32,541,37.04,41.78,1.43
bag of popcorn,25001,2.8,424,12.6,9.5,72
bag of pretzels,19047,3.44,380,10.34,2.63,79.76
bagel with cream cheese,1017,54.44,342,5.93,34.24,4.07
bagel with cream cheese,18001,36.28,257,10.02,1.62,50.5
bake a cake,18139,23.3,357,5.4,12.4,57.2
bake chicken,5013,63.79,190,28.93,7.41,0
bake cookies,18165,5.7,488,5.7,28.3,58.4
bake some cookies,18165,5.7,488,5.7,28.3,58.4
baked bbq chicken,5000,67.78,144,28.04,3.57,0
baked chicken,5013,63.79,190,28.93,7.41,0
baked cookies,18165,5.7,488,5.7,28.3,58.4
baked ham,10009,55.04,273,26.83,17.61,0
baked mac n cheese,36017,67.72,153,6.47,6.1,18.12
baked macaroni,36017,67.72,153,6.47,6.1,18.12
baked potato,11674,74.89,93,2.5,0.13,21.15
baked potatoe,11674,74.89,93,2.5,0.13,21.15
baked potatoes,11674,74.89,93,2.5,0.13,21.15
baking a cake,18139,23.3,357,5.4,12.4,57.2
baking christmas cookies,18208,8.9,472,5.9,23.4,60
baking cookies,18165,5.7,488,5.7,28.3,58.4
baking cupcakes,18102,20.7,356,4.4,10.3,63.2
banana,9040,74.91,89,1.09,0.33,22.84
banana bread,18019,29.2,326,4.3,10.5,54.6
banana chips,19400,4.3,519,2.3,33.6,58.4
banana cream pie,18304,47.9,269,4.4,13.6,32.9
banana nut bread,18019,29.2,326,4.3,10.5,54.6
banana peppers,11976,91.81,27,1.66,0.45,5.35
banana pudding,19122,75.9,101,2.9,1.73,18.43
bananas,9040,74.91,89,1.09,0.33,22.84
bananas http,9040,74.91,89,1.09,0.33,22.84
bananas in,9040,74.91,89,1.09,0.33,22.84
bananas lol,9040,74.91,89,1.09,0.33,22.84
barbecue chicken,5000,67.78,144,28.04,3.57,0
barbeque chicken,5000,67.78,144,28.04,3.57,0
barley w,20006,68.8,123,2.26,0.44,28.22
bbq chicken,5000,67.78,144,28.04,3.57,0
bbq pulled pork,22972,60.99,168,13.19,4.42,18.74
bday cake,18102,20.7,356,4.4,10.3,63.2
beef,13399,64.46,187,27.42,7.72,0
beef and,13399,64.46,187,27.42,7.72,0
beef brisket,13347,59.79,251,18.17,18.98,0.47
beef burger,21107,38.49,295,14.74,11.24,33.71
beef is,13399,64.46,187,27.42,7.72,0
beef jerky,19002,23.36,410,33.2,25.6,11
beef lol,13399,64.46,187,27.42,7.72,0
beef on,13399,64.46,187,27.42,7.72,0
beef patties,13317,53.91,295,23.05,21.83,0
beef patty,13317,53.91,295,23.05,21.83,0
beef ribs,13855,47.18,359,22.28,29.21,0
beef sandwich,21121,48.64,249,15.47,9.9,24.06
beef stew,22905,80.78,99,4.41,5.53,7.85
beef stroganoff,22944,51.5,147,4.8,3.2,24.8
beef w,13399,64.46,187,27.42,7.72,0
beef wit,13399,64.46,187,27.42,7.72,0
beef with,13399,64.46,187,27.42,7.72,0
beefy crunch burrito,21265,60.6,189,8.05,8.05,21.07
beer and pizza,21299,43.17,266,11.39,9.69,33.33
beet,11080,87.58,43,1.61,0.17,9.56
beets,11080,87.58,43,1.61,0.17,9.56
best pizza,21299,43.17,266,11.39,9.69,33.33
best pizza around,21299,43.17,266,11.39,9.69,33.33
best pizza ever,21299,43.17,266,11.39,9.69,33.33
best pizza i''ve had in,21299,43.17,266,11.39,9.69,33.33
best pizza in,21299,43.17,266,11.39,9.69,33.33
best pizza in new york,21299,43.17,266,11.39,9.69,33.33
best pizza in town,21299,43.17,266,11.39,9.69,33.33
birthday cake,18102,20.7,356,4.4,10.3,63.2
birthday cake for,18102,20.7,356,4.4,10.3,63.2
bison burger,17331,59.53,238,23.77,15.13,0
black bean,16015,65.74,132,8.86,0.54,23.71
black beans,16015,65.74,132,8.86,0.54,23.71
black cod,15192,80.31,85,18.73,0.5,0
bleu cheese,1004,42.41,353,21.4,28.74,2.34
block of cheese,1009,36.75,403,24.9,33.14,1.28
blood orange,9200,86.75,47,0.94,0.12,11.75
blooming onion,21130,24.52,411,3.86,25.23,43.58
blue bell ice cream,19095,61,207,3.5,11,23.6
blue cheese,1004,42.41,353,21.4,28.74,2.34
blue cheese burger,21089,38.7,303,15.13,13.93,29.89
blue crab,15140,79.69,83,17.88,0.74,0
blueberries,9050,84.21,57,0.74,0.33,14.49
blueberry,9050,84.21,57,0.74,0.33,14.49
blueberry muffin,18278,39.5,285,6.5,10.8,40.7
blueberry muffins,18278,39.5,285,6.5,10.8,40.7
blueberry pancakes,18294,53.2,222,6.1,9.2,29
blueberry pie,18306,51.2,245,2.7,11.9,33.5
blueberry waffles,28009,40.5,265,5.5,8.7,41.7
boiled eggs,1129,74.62,155,12.58,10.61,1.12
boiled peanuts,16088,41.78,318,13.5,22.01,21.26
bojangles'' famous chicken,5007,49.39,289,22.54,17.35,9.42
bok choy,11116,95.32,13,1.5,0.2,2.18
bowl of apple jacks,8003,2.5,366,5,1.9,88.2
bowl of ice cream,19095,61,207,3.5,11,23.6
bowl of oatmeal,8123,84.03,68,2.37,1.36,11.67
braised short ribs,13390,59.3,220,27.53,11.4,0
bread,18064,34.53,270,10.37,3.44,49.46
bread and,18064,34.53,270,10.37,3.44,49.46
bread and butter,18064,34.53,270,10.37,3.44,49.46
bread and butter,1145,17.94,717,0.85,81.11,0.06
bread bowl,18064,34.53,270,10.37,3.44,49.46
bread crumbs,18079,6.51,395,13.35,5.3,71.98
bread http,18064,34.53,270,10.37,3.44,49.46
bread sticks,18080,6.1,412,12,9.5,68.4
bread w,18064,34.53,270,10.37,3.44,49.46
breadsticks,18080,6.1,412,12,9.5,68.4
breakfast pizza,21299,43.17,266,11.39,9.69,33.33
brick oven pizza,21299,43.17,266,11.39,9.69,33.33
broccoli,11090,90.69,28,2.98,0.35,5.24
broccoli rabe,11096,92.55,22,3.17,0.49,2.85
broccoli w,11090,90.69,28,2.98,0.35,5.24
brown butter,1001,15.87,717,0.85,81.11,0.06
brown rice,20041,72.96,112,2.32,0.83,23.51
brown trout,15219,63.36,190,26.63,8.47,0
brownies and ice cream,19095,61,207,3.5,11,23.6
brownies and ice cream,18154,12.6,466,6.2,29.1,50.2
brussel sprouts,11098,86,43,3.38,0.3,8.95
brussels sprouts,11098,86,43,3.38,0.3,8.95
bucket of chicken,21424,36.63,388,13,29.47,17.63
buffalo chicken dip,21314,76,142,0.54,15.45,1.81
bumble bee tuna,15126,73.19,128,23.62,2.97,0
bundt cakes,18139,23.3,357,5.4,12.4,57.2
burnt popcorn,19034,3.32,387,12.94,4.54,77.9
butter,1001,15.87,717,0.85,81.11,0.06
butter cake,18120,24.6,388,5.5,19.9,48.8
butter cookies,18155,4.6,467,6.1,18.8,68.9
butter cream,19241,13.33,408,1.11,13.06,71.8
butter http,1001,15.87,717,0.85,81.11,0.06
butter on it,1001,15.87,717,0.85,81.11,0.06
butter sauce,6264,84.02,72,3.95,2.56,8.29
butter w,1001,15.87,717,0.85,81.11,0.06
buttercream frosting,19241,13.33,408,1.11,13.06,71.8
buttered,1001,15.87,717,0.85,81.11,0.06
buttermilk biscuits,18016,28.9,353,7,16.3,44.6
butternut squash,11485,86.41,45,1,0.1,11.69
butterscotch,19070,5.25,391,0.03,3.3,90.4
buying candy,19141,1.7,492,4.33,21.13,71.19
cabbage,11109,92.18,25,1.28,0.1,5.8
cake,18139,23.3,357,5.4,12.4,57.2
cake and,18139,23.3,357,5.4,12.4,57.2
cake and ice cream,19095,61,207,3.5,11,23.6
cake and ice cream,18139,23.3,357,5.4,12.4,57.2
cake balls,18102,20.7,356,4.4,10.3,63.2
cake batter,18139,23.3,357,5.4,12.4,57.2
cake decorating,18139,23.3,357,5.4,12.4,57.2
cake donuts http,18248,22.88,418,5.87,23.55,45.63
cake ever,18139,23.3,357,5.4,12.4,57.2
cake for,18139,23.3,357,5.4,12.4,57.2
cake for breakfast,18139,23.3,357,5.4,12.4,57.2
cake for lunch,18139,23.3,357,5.4,12.4,57.2
cake haha,18139,23.3,357,5.4,12.4,57.2
cake http,18139,23.3,357,5.4,12.4,57.2
cake is,18139,23.3,357,5.4,12.4,57.2
cake lol,18139,23.3,357,5.4,12.4,57.2
cake pop,18102,20.7,356,4.4,10.3,63.2
cake pops,18102,20.7,356,4.4,10.3,63.2
cake right now,18139,23.3,357,5.4,12.4,57.2
cake tasting,18139,23.3,357,5.4,12.4,57.2
cake tho,18139,23.3,357,5.4,12.4,57.2
cake though,18139,23.3,357,5.4,12.4,57.2
cake today,18139,23.3,357,5.4,12.4,57.2
cake tonight,18139,23.3,357,5.4,12.4,57.2
cake too,18139,23.3,357,5.4,12.4,57.2
cake w,18139,23.3,357,5.4,12.4,57.2
cake with,18139,23.3,357,5.4,12.4,57.2
cakes,18139,23.3,357,5.4,12.4,57.2
cakes http,18139,23.3,357,5.4,12.4,57.2
cakes lol,18139,23.3,357,5.4,12.4,57.2
canadian bacon,10131,61.7,185,24.24,8.44,1.35
candied yams,11659,62.75,164,0.89,3.54,32.12
candy,19141,1.7,492,4.33,21.13,71.19
candy and,19141,1.7,492,4.33,21.13,71.19
candy apple,21366,72.16,111,0.45,0.77,26.12
candy bar,19155,5.55,491,7.53,23.85,61.51
candy bars,19155,5.55,491,7.53,23.85,61.51
candy cane,19107,1.3,394,0,0.2,98
candy canes,19107,1.3,394,0,0.2,98
candy cigarettes,19163,2.6,360,0,0.3,96.7
candy ever,19141,1.7,492,4.33,21.13,71.19
candy for,19141,1.7,492,4.33,21.13,71.19
candy for breakfast,19141,1.7,492,4.33,21.13,71.19
candy for me,19141,1.7,492,4.33,21.13,71.19
candy http,19141,1.7,492,4.33,21.13,71.19
candy is,19141,1.7,492,4.33,21.13,71.19
candy lol,19141,1.7,492,4.33,21.13,71.19
candy w,19141,1.7,492,4.33,21.13,71.19
candy yams,11659,62.75,164,0.89,3.54,32.12
candycane,19107,1.3,394,0,0.2,98
candys,19141,1.7,492,4.33,21.13,71.19
cantaloupe,9181,90.15,34,0.84,0.19,8.16
caramel apple,21366,72.16,111,0.45,0.77,26.12
caramel apples,21366,72.16,111,0.45,0.77,26.12
caramel popcorn,19039,2.8,431,3.8,12.8,79.1
carmel apple,21366,72.16,111,0.45,0.77,26.12
carrot,11124,88.29,41,0.93,0.24,9.58
carrots,11124,88.29,41,0.93,0.24,9.58
cashew http,12087,5.2,553,18.22,43.85,30.19
cashews,12087,5.2,553,18.22,43.85,30.19
catfish,15233,77.67,105,18.47,2.85,0
catfish http,15233,77.67,105,18.47,2.85,0
catfish nuggets,15011,58.81,229,18.09,13.33,8.04
cauliflower,11135,92.07,25,1.92,0.28,4.97
celery,11143,95.43,16,0.69,0.17,2.97
celery sticks,11143,95.43,16,0.69,0.17,2.97
cereal and milk,8045,2.2,376,8.8,4.7,79.9
cereal but no milk,8045,2.2,376,8.8,4.7,79.9
cereal n milk,8045,2.2,376,8.8,4.7,79.9
cereal no milk,8045,2.2,376,8.8,4.7,79.9
cheap pizza,21299,43.17,266,11.39,9.69,33.33
cheddar,1009,36.75,403,24.9,33.14,1.28
cheddar cheese,1009,36.75,403,24.9,33.14,1.28
cheese,1026,50.01,300,22.17,22.35,2.19
cheese and,1026,50.01,300,22.17,22.35,2.19
cheese and crackers,1026,50.01,300,22.17,22.35,2.19
cheese and crackers,18232,3.18,456,8.95,17.36,67.35
cheese and rice,1026,50.01,300,22.17,22.35,2.19
cheese and rice,20055,76.63,97,2.02,0.19,21.09
cheese and wine,1026,50.01,300,22.17,22.35,2.19
cheese balls,19008,1.68,563,5.87,36.56,53
cheese bread,18972,21.13,408,10.42,20.83,44.83
cheese bread,18972,21.13,408,10.42,20.83,44.83
cheese burger,21089,38.7,303,15.13,13.93,29.89
cheese burgers,21089,38.7,303,15.13,13.93,29.89
cheese cake,18147,45.6,321,5.5,22.5,25.5
cheese course,1026,50.01,300,22.17,22.35,2.19
cheese curls,19008,1.68,563,5.87,36.56,53
cheese danish,18245,31.4,374,8,21.9,37.2
cheese dip,27052,73.72,143,3.14,9.51,11.14
cheese doodles,19008,1.68,563,5.87,36.56,53
cheese enchiladas,21074,63.23,196,5.91,11.56,17.51
cheese ever,1026,50.01,300,22.17,22.35,2.19
cheese for,1026,50.01,300,22.17,22.35,2.19
cheese for dinner,1026,50.01,300,22.17,22.35,2.19
cheese for lunch,1026,50.01,300,22.17,22.35,2.19
cheese frosting,19228,15.1,415,0.1,17.3,67.32
cheese grits,8094,7.6,366,8.37,5.97,73.08
cheese icing,19228,15.1,415,0.1,17.3,67.32
cheese is,1026,50.01,300,22.17,22.35,2.19
cheese itz,18214,3.55,489,10.93,22.74,59.42
cheese lmao,1026,50.01,300,22.17,22.35,2.19
cheese nachos,21078,40.45,306,8.05,16.77,32.15
cheese nips,18214,3.55,489,10.93,22.74,59.42
cheese omelet,1130,76.13,154,10.57,11.66,0.64
cheese on,1026,50.01,300,22.17,22.35,2.19
cheese on a bagel,1026,50.01,300,22.17,22.35,2.19
cheese on a bagel,18001,36.28,257,10.02,1.62,50.5
cheese on it,1026,50.01,300,22.17,22.35,2.19
cheese pizza,21299,43.17,266,11.39,9.69,33.33
cheese please,1026,50.01,300,22.17,22.35,2.19
cheese puffs,19008,1.68,563,5.87,36.56,53
cheese sauce,1164,66.86,197,10.33,14.92,5.48
cheese shop,1026,50.01,300,22.17,22.35,2.19
cheese steak,21123,51.07,225,14.87,6.9,25.47
cheese steaks,21123,51.07,225,14.87,6.9,25.47
cheese stick,36012,37.95,329,14.89,18.92,24.89
cheese sticks,36012,37.95,329,14.89,18.92,24.89
cheese tho,1026,50.01,300,22.17,22.35,2.19
cheese w,1026,50.01,300,22.17,22.35,2.19
cheese with,1026,50.01,300,22.17,22.35,2.19
cheese wiz,1252,43.95,310,18.18,22.63,8.52
cheeseburger,21089,38.7,303,15.13,13.93,29.89
cheeseburger right now,21089,38.7,303,15.13,13.93,29.89
cheeseburgers,21089,38.7,303,15.13,13.93,29.89
cheesecake,18147,45.6,321,5.5,22.5,25.5
cheesecake http,18147,45.6,321,5.5,22.5,25.5
cheesecakes,18147,45.6,321,5.5,22.5,25.5
cheeses,1026,50.01,300,22.17,22.35,2.19
cheesesteak,21123,51.07,225,14.87,6.9,25.47
cheesesteaks,21123,51.07,225,14.87,6.9,25.47
cheesesticks,36012,37.95,329,14.89,18.92,24.89
cheesy potatoes,11373,74,132,5.06,7.59,11.27
cherries,9070,82.25,63,1.06,0.2,16.01
cherries on top,9070,82.25,63,1.06,0.2,16.01
cherrios,8013,5.13,371,12.09,6.73,73.23
cherry garcia,19089,57.2,249,3.5,16.2,22.29
cherry on,9070,82.25,63,1.06,0.2,16.01
cherry pie,18309,45.8,270,2.8,12.2,38.5
cherry pop,19873,94.03,21,0,0,5.14
cherry tomatoes,11529,94.52,18,0.88,0.2,3.89
cherrys,9070,82.25,63,1.06,0.2,16.01
chicago deep dish pizza,21300,43.05,271,10.81,10.54,33.17
chicago style hot dog,21118,53.96,247,10.6,14.84,18.4
chicago style pizza,21300,43.05,271,10.81,10.54,33.17
chicken,5013,63.79,190,28.93,7.41,0
chicken and,5013,63.79,190,28.93,7.41,0
chicken and dumplings,22952,80.8,93,4.45,4.05,9.72
chicken and rice,5013,63.79,190,28.93,7.41,0
chicken and rice,20055,76.63,97,2.02,0.19,21.09
chicken bake,5013,63.79,190,28.93,7.41,0
chicken breasts,5064,65.26,165,31.02,3.57,0
chicken burrito,21266,61,179,9.84,6.42,20.51
chicken caesar salad,21370,82.95,68,9.82,1.9,3.81
chicken cheese steak,21103,46.01,277,12.9,17,18.24
chicken cheesesteak,21103,46.01,277,12.9,17,18.24
chicken club,21461,52.52,220,17.19,8.05,19.87
chicken cutlet,5326,51.34,252,16.35,12.89,17.56
chicken cutlets,5326,51.34,252,16.35,12.89,17.56
chicken dinner,5013,63.79,190,28.93,7.41,0
chicken ever,5013,63.79,190,28.93,7.41,0
chicken feet,5335,65.8,215,19.4,14.6,0.2
chicken fingers,36015,48.01,270,19.93,14.34,15.2
chicken for,5013,63.79,190,28.93,7.41,0
chicken for dinner,21308,44.12,303,17.23,18.08,17.83
chicken for lunch,5013,63.79,190,28.93,7.41,0
chicken fried chicken,5007,49.39,289,22.54,17.35,9.42
chicken fried rice,36602,60.99,163,4.67,2.27,30.99
chicken fries,21256,43.79,320,15.42,20.89,17.55
chicken from,5013,63.79,190,28.93,7.41,0
chicken katsu,5007,49.39,289,22.54,17.35,9.42
chicken legs,5082,67.69,174,24.22,7.8,0
chicken lmao,5013,63.79,190,28.93,7.41,0
chicken lol,5013,63.79,190,28.93,7.41,0
chicken mcnuggets,21309,47.13,302,15.79,19.81,15.09
chicken n rice,5013,63.79,190,28.93,7.41,0
chicken n rice,20055,76.63,97,2.02,0.19,21.09
chicken nugget,5321,48.59,296,15.27,19.82,14.09
chicken nuggets,5321,48.59,296,15.27,19.82,14.09
chicken nuggets from mcdonalds,21309,47.13,302,15.79,19.81,15.09
chicken pasta,22984,76,100,7,2.3,13
chicken patties,5324,50.82,287,14.85,19.58,12.84
chicken pot pie,22906,63.45,198,4.82,11.45,18.99
chicken quesadilla,21488,42.62,294,15.05,15.25,24.04
chicken quesadillas,21488,42.62,294,15.05,15.25,24.04
chicken salad,21054,87.05,48,8,1,1.71
chicken sandwhich,21102,47.31,283,13.25,16.18,21.26
chicken sandwich,21102,47.31,283,13.25,16.18,21.26
chicken sandwiches,21102,47.31,283,13.25,16.18,21.26
chicken smh,5013,63.79,190,28.93,7.41,0
chicken strip,21421,47.93,274,20.25,15.42,13.66
chicken strips,21421,47.93,274,20.25,15.42,13.66
chicken taco,21487,58.42,189,13.3,6.35,19.69
chicken tacos,21487,58.42,189,13.3,6.35,19.69
chicken tenders,21401,45.28,299,17.63,18.13,16.21
chicken tho,5013,63.79,190,28.93,7.41,0
chicken tonight,5013,63.79,190,28.93,7.41,0
chicken w,5013,63.79,190,28.93,7.41,0
chicken with,5013,63.79,190,28.93,7.41,0
chickpea,16057,60.21,164,8.86,2.59,27.42
chili cheese dog,21119,47.8,260,11.85,11.79,27.45
chili cheese dogs,21119,47.8,260,11.85,11.79,27.45
chip cookie,18165,5.7,488,5.7,28.3,58.4
chip cookies,18165,5.7,488,5.7,28.3,58.4
chip pancakes,28004,43.84,253,5.5,8.2,39.9
chips ahoy cookies,18159,6.48,474,5.12,23.31,63.86
choc chip cookies,18165,5.7,488,5.7,28.3,58.4
chocolate cake,18101,24.4,371,5.3,15.1,53.4
chocolate candy,19141,1.7,492,4.33,21.13,71.19
chocolate chip cookie,18165,5.7,488,5.7,28.3,58.4
chocolate chip cookie dough,18163,12.08,451,3.98,21.33,61.02
chocolate chip cookies,18165,5.7,488,5.7,28.3,58.4
chocolate chip pancakes,28004,43.84,253,5.5,8.2,39.9
chocolate cookies,18993,7.5,423,6.6,16.9,66.9
chocolate covered pretzels,19048,2.5,458,7.5,16.7,70.9
chocolate cupcake,18096,22.04,389,3.48,20.05,52.84
chocolate ice cream,19270,55.7,216,3.8,11,28.2
chocolate pudding,19183,69.46,142,2.09,4.6,23.01
christmas cookies,18208,8.9,472,5.9,23.4,60
cinnamon raisin bagel,18005,32,274,9.8,1.7,55.2
clam,15159,63.64,148,25.55,1.95,5.13
clams,15159,63.64,148,25.55,1.95,5.13
coconut oil,4047,0,862,0,100,0
coffee and donuts,18248,22.88,418,5.87,23.55,45.63
coffee cake,18104,21.9,418,6.8,23.3,46.7
cold pizza,21299,43.17,266,11.39,9.69,33.33
collard,11161,89.62,32,3.02,0.61,5.42
collard greens,11161,89.62,32,3.02,0.61,5.42
collards,11161,89.62,32,3.02,0.61,5.42
condensed milk,1095,27.16,321,7.91,8.7,54.4
cookie,18165,5.7,488,5.7,28.3,58.4
cookie cake,18165,5.7,488,5.7,28.3,58.4
cookie crisp,8017,2.3,380,5.2,4.4,84.5
cookie cutter,18165,5.7,488,5.7,28.3,58.4
cookie dough,18163,12.08,451,3.98,21.33,61.02
cookie lol,18165,5.7,488,5.7,28.3,58.4
cookies,18165,5.7,488,5.7,28.3,58.4
cookies and,18165,5.7,488,5.7,28.3,58.4
cookies and ice cream,19095,61,207,3.5,11,23.6
cookies and ice cream,18165,5.7,488,5.7,28.3,58.4
cookies and milk,18166,2.2,469,5.61,19.78,70.67
cookies are,18165,5.7,488,5.7,28.3,58.4
cookies ever,18165,5.7,488,5.7,28.3,58.4
cookies for,18165,5.7,488,5.7,28.3,58.4
cookies for breakfast,18165,5.7,488,5.7,28.3,58.4
cookies haha,18165,5.7,488,5.7,28.3,58.4
cookies in the world,18165,5.7,488,5.7,28.3,58.4
cookies lmao,18165,5.7,488,5.7,28.3,58.4
cookies lol,18165,5.7,488,5.7,28.3,58.4
cookies today,18165,5.7,488,5.7,28.3,58.4
cookies too,18165,5.7,488,5.7,28.3,58.4
cooking bacon,10124,12.32,541,37.04,41.78,1.43
cooking chicken,5013,63.79,190,28.93,7.41,0
cooking spaghetti,20121,62.13,158,5.8,0.93,30.86
corn,11167,76.05,86,3.27,1.35,18.7
corn beef,13348,57.72,250,27.1,14.93,0
corn beef hash,22908,70.32,164,8.73,10.24,9.27
corn bread,18024,39.1,266,6.7,7.1,43.5
corn chips,19056,1.85,489,7.79,23.36,65.56
corn chowder,27026,84.9,61,1.22,1.22,10.61
corn dog,22973,47.41,267,7.93,12.95,29.71
corn dogs,22973,47.41,267,7.93,12.95,29.71
corn flakes,8022,3,399,7.7,0.3,88.8
corn fritters,18270,29,337,7.7,13.5,46
corn muffin,18282,33,316,7.1,12.3,44.2
corn muffins,18282,33,316,7.1,12.3,44.2
corn on the cob,11180,71.79,98,3.28,0.78,23.5
corn pops,8068,2.5,389,4.6,1.3,90.4
corn tortillas,18363,45.89,218,5.7,2.85,44.64
cornbeef,13348,57.72,250,27.1,14.93,0
cornbread,18024,39.1,266,6.7,7.1,43.5
cornbread dressing,18085,64.9,179,2.9,8.8,21.9
corndog,22973,47.41,267,7.93,12.95,29.71
corndogs,22973,47.41,267,7.93,12.95,29.71
corned beef,13348,57.72,250,27.1,14.93,0
corned beef and cabbage,13348,57.72,250,27.1,14.93,0
corned beef and cabbage,11109,92.18,25,1.28,0.1,5.8
corned beef hash,22908,70.32,164,8.73,10.24,9.27
corned beef sandwich,16527,54.1,245,18.6,14.5,9.9
cornflakes,8022,3,399,7.7,0.3,88.8
