food_phrase,item_num,water,cals,protein,lipid,carb
cornish hens,5307,68.18,200,17.15,14.02,0
costco pizza,21299,43.17,266,11.39,9.69,33.33
cottage cheese,1012,79.79,98,11.12,4.3,3.38
cous cous,20029,72.57,112,3.79,0.16,23.22
couscous,20029,72.57,112,3.79,0.16,23.22
crab,15137,77.55,97,19.35,1.54,0
crab cake,21046,53.38,266,18.75,17.25,8.52
crab cakes,21046,53.38,266,18.75,17.25,8.52
crab cakes and,15137,77.55,97,19.35,1.54,0
crab cakes and football,15137,77.55,97,19.35,1.54,0
crab legs,15137,77.55,97,19.35,1.54,0
crab meat,15141,79.69,83,17.88,0.74,0
crab night,15137,77.55,97,19.35,1.54,0
crabcakes,21046,53.38,266,18.75,17.25,8.52
crablegs,15137,77.55,97,19.35,1.54,0
crabs,15137,77.55,97,19.35,1.54,0
crabs in,15137,77.55,97,19.35,1.54,0
crackers,18232,3.18,456,8.95,17.36,67.35
crave cupcakes,18102,20.7,356,4.4,10.3,63.2
craving ice cream,19095,61,207,3.5,11,23.6
craving pancakes,18293,52.9,227,6.4,9.7,28.3
craving pizza,21299,43.17,266,11.39,9.69,33.33
crayfish,15146,79.37,82,16.77,1.2,0
cream cheese,1017,54.44,342,5.93,34.24,4.07
cream cheese frosting,19228,15.1,415,0.1,17.3,67.32
cream corn,11772,78.73,72,1.74,0.42,18.13
crispy bacon,10124,12.32,541,37.04,41.78,1.43
crunchy peanut butter,16397,1.14,589,24.06,49.94,21.57
crust pizza,21299,43.17,266,11.39,9.69,33.33
cucumber,11205,95.23,15,0.65,0.11,3.63
cucumbers,11205,95.23,15,0.65,0.11,3.63
cup cake,18102,20.7,356,4.4,10.3,63.2
cup cakes,18102,20.7,356,4.4,10.3,63.2
cupcake,18102,20.7,356,4.4,10.3,63.2
cupcake from,18102,20.7,356,4.4,10.3,63.2
cupcake http,18102,20.7,356,4.4,10.3,63.2
cupcake lol,18102,20.7,356,4.4,10.3,63.2
cupcakes,18102,20.7,356,4.4,10.3,63.2
cupcakes and,18102,20.7,356,4.4,10.3,63.2
cupcakes ever,18102,20.7,356,4.4,10.3,63.2
cupcakes for,18102,20.7,356,4.4,10.3,63.2
cupcakes from,18102,20.7,356,4.4,10.3,63.2
cupcakes http,18102,20.7,356,4.4,10.3,63.2
cupcakes lol,18102,20.7,356,4.4,10.3,63.2
cupcakes today,18102,20.7,356,4.4,10.3,63.2
cupcakes too,18102,20.7,356,4.4,10.3,63.2
cupcakes w,18102,20.7,356,4.4,10.3,63.2
cut the cake,18139,23.3,357,5.4,12.4,57.2
debbie cakes,18127,18.57,399,3.63,15.93,60.31
deep dish pizza,21300,43.05,271,10.81,10.54,33.17
deep fried turkey,5292,49.7,283,14,18,15.7
delicious pizza,21299,43.17,266,11.39,9.69,33.33
delivery pizza,21299,43.17,266,11.39,9.69,33.33
digiorno pizzo,21474,43.95,256,12.8,8.6,31.78
dish pizza,21300,43.05,271,10.81,10.54,33.17
donut,18248,22.88,418,5.87,23.55,45.63
donut hole,18248,22.88,418,5.87,23.55,45.63
donut holes,18248,22.88,418,5.87,23.55,45.63
donut run,18248,22.88,418,5.87,23.55,45.63
donuts,18248,22.88,418,5.87,23.55,45.63
donuts http,18248,22.88,418,5.87,23.55,45.63
donuts on,18248,22.88,418,5.87,23.55,45.63
donuts w,18248,22.88,418,5.87,23.55,45.63
double cheese burger,21092,42.17,308,17.16,17.4,20.8
double cheese burgers,21092,42.17,308,17.16,17.4,20.8
double cheeseburger,21092,42.17,308,17.16,17.4,20.8
double cheeseburgers,21092,42.17,308,17.16,17.4,20.8
doughnut,18248,22.88,418,5.87,23.55,45.63
doughnuts,18248,22.88,418,5.87,23.55,45.63
doughnuts http,18248,22.88,418,5.87,23.55,45.63
doughnuts w,18248,22.88,418,5.87,23.55,45.63
dozen cupcakes,18102,20.7,356,4.4,10.3,63.2
duck fat,4574,0.2,882,0,99.8,0
dungeness crab,15226,73.31,110,22.32,1.24,0.95
easter candy,19141,1.7,492,4.33,21.13,71.19
eat a cookie,18165,5.7,488,5.7,28.3,58.4
eat bacon,10124,12.32,541,37.04,41.78,1.43
eat beef,13399,64.46,187,27.42,7.72,0
eat cake,18139,23.3,357,5.4,12.4,57.2
eat candy,19141,1.7,492,4.33,21.13,71.19
eat chicken,5013,63.79,190,28.93,7.41,0
eat cookies,18165,5.7,488,5.7,28.3,58.4
eat eggs,1129,74.62,155,12.58,10.61,1.12
eat ice cream,19095,61,207,3.5,11,23.6
eat noodles,20117,67.91,131,4,0.18,27.54
eat pancakes,18293,52.9,227,6.4,9.7,28.3
eat pizza,21299,43.17,266,11.39,9.69,33.33
eat pork,10011,60.66,211,29.41,9.44,0
eat some cake,18139,23.3,357,5.4,12.4,57.2
eat some pizza,21299,43.17,266,11.39,9.69,33.33
eat spaghetti,20121,62.13,158,5.8,0.93,30.86
eat turkey,5220,68.4,135,30.06,0.74,0
eat yogurt,1117,85.07,63,5.25,1.55,7.04
eatin candy,19141,1.7,492,4.33,21.13,71.19
eatin chicken,5013,63.79,190,28.93,7.41,0
eatin cookies,18165,5.7,488,5.7,28.3,58.4
eatin ice cream,19095,61,207,3.5,11,23.6
eatin pizza,21299,43.17,266,11.39,9.69,33.33
eating a banana,9040,74.91,89,1.09,0.33,22.84
eating a candy cane,19107,1.3,394,0,0.2,98
eating an apple,9003,85.56,52,0.26,0.17,13.81
eating bacon,10124,12.32,541,37.04,41.78,1.43
eating cake,18139,23.3,357,5.4,12.4,57.2
eating candy,19141,1.7,492,4.33,21.13,71.19
eating cheese,1026,50.01,300,22.17,22.35,2.19
eating cheesecake,18147,45.6,321,5.5,22.5,25.5
eating cherries,9070,82.25,63,1.06,0.2,16.01
eating chicken,5013,63.79,190,28.93,7.41,0
eating chicken nuggets,5321,48.59,296,15.27,19.82,14.09
eating cookie dough,18163,12.08,451,3.98,21.33,61.02
eating cookies,18165,5.7,488,5.7,28.3,58.4
eating crabs,15137,77.55,97,19.35,1.54,0
eating donuts,18248,22.88,418,5.87,23.55,45.63
eating eggs,1129,74.62,155,12.58,10.61,1.12
eating grapes,9132,80.54,69,0.72,0.16,18.1
eating ham,10009,55.04,273,26.83,17.61,0
eating ice cream,19095,61,207,3.5,11,23.6
eating ice cream and watching,19095,61,207,3.5,11,23.6
eating noodles,20117,67.91,131,4,0.18,27.54
eating oatmeal,8123,84.03,68,2.37,1.36,11.67
eating pancakes,18293,52.9,227,6.4,9.7,28.3
eating pasta,20094,68.56,131,5.15,1.05,24.93
eating peanut butter,16398,1.81,588,25.09,50.39,19.56
eating pizza,21299,43.17,266,11.39,9.69,33.33
eating pizza and,21299,43.17,266,11.39,9.69,33.33
eating popcorn,19034,3.32,387,12.94,4.54,77.9
eating pork,10011,60.66,211,29.41,9.44,0
eating pretzels,19047,3.44,380,10.34,2.63,79.76
eating ribs,13390,59.3,220,27.53,11.4,0
eating shrimp,15151,71.56,119,22.78,1.7,1.52
eating spaghetti,20121,62.13,158,5.8,0.93,30.86
eating strawberries,9316,90.95,32,0.67,0.3,7.68
eating sunflower seeds,12036,4.73,584,20.78,51.46,20
eating watermelon,9326,91.45,30,0.61,0.15,7.55
eating yogurt,1117,85.07,63,5.25,1.55,7.04
ed onions,11286,80.01,132,0.95,10.8,7.86
egg,1129,74.62,155,12.58,10.61,1.12
egg haha,1129,74.62,155,12.58,10.61,1.12
egg lol,1129,74.62,155,12.58,10.61,1.12
egg mcmuffin,21357,52.58,228,13.64,9.66,21.67
egg nog,1057,82.54,88,4.55,4.19,8.05
egg nogg,1057,82.54,88,4.55,4.19,8.05
egg noodles,20410,67.73,138,4.54,2.07,25.16
egg roll,36601,50.6,250,8.28,11.94,27.29
egg rolls,36601,50.6,250,8.28,11.94,27.29
egg w,1129,74.62,155,12.58,10.61,1.12
egg white,1124,87.57,52,10.9,0.17,0.73
egg whites,1124,87.57,52,10.9,0.17,0.73
eggnog,1057,82.54,88,4.55,4.19,8.05
eggplant,11209,92.3,25,0.98,0.18,5.88
eggroll,36601,50.6,250,8.28,11.94,27.29
eggrolls,36601,50.6,250,8.28,11.94,27.29
eggs,1129,74.62,155,12.58,10.61,1.12
eggs and,1129,74.62,155,12.58,10.61,1.12
eggs and bacon,1128,69.47,196,13.61,14.84,0.83
eggs and bacon,10124,12.32,541,37.04,41.78,1.43
eggs and ham,1128,69.47,196,13.61,14.84,0.83
eggs and toast,1128,69.47,196,13.61,14.84,0.83
eggs for breakfast,1129,74.62,155,12.58,10.61,1.12
eggs over easy,1128,69.47,196,13.61,14.84,0.83
eggs w,1129,74.62,155,12.58,10.61,1.12
endless shrimp,15151,71.56,119,22.78,1.7,1.52
extra bacon,10124,12.32,541,37.04,41.78,1.43
extra cheese,1026,50.01,300,22.17,22.35,2.19
extra chicken,5013,63.79,190,28.93,7.41,0
extra virgin olive oil,4053,0,884,0,100,0
falafel,16138,34.62,333,13.31,17.8,31.84
favorite candy,19141,1.7,492,4.33,21.13,71.19
feta cheese,1019,55.22,264,14.21,21.28,4.09
fish and grits,8164,84.36,65,1.23,0.39,13.86
fish and grits,15192,80.31,85,18.73,0.5,0
flatbread,18973,45.91,249,8.77,7.89,35.82
flatbreads,18973,45.91,249,8.77,7.89,35.82
flounder,15029,81.11,86,15.24,2.37,0
fortune cookie,18171,8,378,4.2,2.7,84
fortune cookie says,18171,8,378,4.2,2.7,84
fortune cookies,18171,8,378,4.2,2.7,84
free cake,18139,23.3,357,5.4,12.4,57.2
free candy,19141,1.7,492,4.33,21.13,71.19
free chicken,5013,63.79,190,28.93,7.41,0
free cookie,18165,5.7,488,5.7,28.3,58.4
free cookies,18165,5.7,488,5.7,28.3,58.4
free donuts,18248,22.88,418,5.87,23.55,45.63
free hot dog,21118,53.96,247,10.6,14.84,18.4
free hot dogs,21118,53.96,247,10.6,14.84,18.4
free ice cream,19095,61,207,3.5,11,23.6
free pancakes,18293,52.9,227,6.4,9.7,28.3
free pizza,21299,43.17,266,11.39,9.69,33.33
free popcorn,19034,3.32,387,12.94,4.54,77.9
french bread,18029,27.81,289,11.75,1.83,56.44
fresh baked cookies,18165,5.7,488,5.7,28.3,58.4
fresh donuts,18248,22.88,418,5.87,23.55,45.63
fresh eggs,1129,74.62,155,12.58,10.61,1.12
fresh mozzarella,1026,50.01,300,22.17,22.35,2.19
fresh pasta,20094,68.56,131,5.15,1.05,24.93
fresh strawberries,9316,90.95,32,0.67,0.3,7.68
fresh tomatoes,11529,94.52,18,0.88,0.2,3.89
fresh veggies,11583,82.08,64,3.33,0.52,13.46
fried catfish,15011,58.81,229,18.09,13.33,8.04
fried chicken,5007,49.39,289,22.54,17.35,9.42
fried egg,1128,69.47,196,13.61,14.84,0.83
fried eggs,1128,69.47,196,13.61,14.84,0.83
fried mushrooms,11263,91.1,26,3.58,0.33,4.04
fried oysters,21048,47.97,265,9.02,12.9,28.69
fried plantains,9446,36.08,309,1.5,11.81,49.17
fried pork chops,10120,61.13,222,26.38,12.14,0
fried potatoes,11403,62.48,164,2.66,5.22,27.74
fried shrimp,15150,52.86,242,21.39,12.28,11.47
fried tofu,16129,50.52,271,17.19,20.18,10.49
fried turkey,5292,49.7,283,14,18,15.7
friendly''s ice cream,19095,61,207,3.5,11,23.6
frozen grapes,9132,80.54,69,0.72,0.16,18.1
frozen pizza,21224,46.28,268,10.36,12.28,29.02
frozen yogurt,19293,65.3,159,4,5.6,24.2
fruit and walnut salad,21369,75.95,118,1.81,5.05,16.6
fruit cake,18110,25.3,324,2.9,9.1,61.6
fruitcake,18110,25.3,324,2.9,9.1,61.6
fry chicken,5007,49.39,289,22.54,17.35,9.42
fry some chicken,5007,49.39,289,22.54,17.35,9.42
frying chicken,5007,49.39,289,22.54,17.35,9.42
full rack of ribs,13390,59.3,220,27.53,11.4,0
funfetti cake,18102,20.7,356,4.4,10.3,63.2
ga peach,9236,88.87,39,0.91,0.25,9.54
garlic bread,18963,31.78,350,8.36,16.61,41.72
garlic mashed potatoes,11657,78.48,83,1.91,0.57,17.57
general tso chicken,36618,45.15,295,12.9,16.36,23.99
general tso''s chicken,36618,45.15,295,12.9,16.36,23.99
georgia peach,9236,88.87,39,0.91,0.25,9.54
german chocolate cake,18096,22.04,389,3.48,20.05,52.84
ghirardelli ice cream,19270,55.7,216,3.8,11,28.2
gingerbread cookies,28107,3.5,444,4.9,12.8,77.9
girl scout cookie season,28035,2,502,4.5,24.2,67.3
girl scout cookies,28035,2,502,4.5,24.2,67.3
giving out candy,19141,1.7,492,4.33,21.13,71.19
glazed donut,18250,19.6,426,5.2,22.9,50.8
glazed donuts,18250,19.6,426,5.2,22.9,50.8
goat cheese,1157,45.52,364,21.58,29.84,0.12
goat meat,17169,68.21,143,27.1,3.03,0
goose egg,1139,70.43,185,13.87,13.27,1.35
government cheese,1009,36.75,403,24.9,33.14,1.28
graham cracker,18173,4.4,423,6.9,10.1,76.8
grapefruit,9111,90.89,32,0.63,0.1,8.08
grapes,9132,80.54,69,0.72,0.16,18.1
grapes lol,9132,80.54,69,0.72,0.16,18.1
great pizza,21299,43.17,266,11.39,9.69,33.33
greek yogurt,1256,85.1,59,10.19,0.39,3.6
green apple,9003,85.56,52,0.26,0.17,13.81
green apples,9003,85.56,52,0.26,0.17,13.81
green bean,11052,90.32,31,1.83,0.22,6.97
green beans,11052,90.32,31,1.83,0.22,6.97
green beans and,11052,90.32,31,1.83,0.22,6.97
green grapes,9132,80.54,69,0.72,0.16,18.1
green onion,11291,89.83,32,1.83,0.19,7.34
green onions,11291,89.83,32,1.83,0.19,7.34
green peas,11305,77.87,84,5.36,0.22,15.63
green pepper,11333,93.89,20,0.86,0.17,4.64
green peppers,11333,93.89,20,0.86,0.17,4.64
green tomatoes,11527,93,23,1.2,0.2,5.1
grilled asparagus,11011,93.22,20,2.2,0.12,3.88
grilled chicken,5064,65.26,165,31.02,3.57,0
grilled chicken breast,5064,65.26,165,31.02,3.57,0
grilled chicken caesar salad,21370,82.95,68,9.82,1.9,3.81
grilled chicken salad,21054,87.05,48,8,1,1.71
grilled chicken sandwich,21490,60.44,182,17.34,4.57,16.78
grilled ham,10147,51.35,342,13.3,30.85,1.7
grilled salmon,15209,59.62,182,25.44,8.13,0
grilled shrimp,15151,71.56,119,22.78,1.7,1.52
grilled veggies,11583,82.08,64,3.33,0.52,13.46
grits,8164,84.36,65,1.23,0.39,13.86
ground beef,23220,58.69,234,25.07,14.53,0.62
ground turkey,5669,56.66,258,25.11,17.45,0
haddock,15034,79.65,90,19.99,0.55,0
halal chicken,5013,63.79,190,28.93,7.41,0
halibut,15037,76.12,111,22.54,1.61,0
halloween candy,19141,1.7,492,4.33,21.13,71.19
ham and cheese sandwich,21116,50.8,241,14.17,10.6,22.84
ham lol,10009,55.04,273,26.83,17.61,0
ham tonight,10009,55.04,273,26.83,17.61,0
hamburger,21107,38.49,295,14.74,11.24,33.71
hamburgers,21107,38.49,295,14.74,11.24,33.71
hams,10009,55.04,273,26.83,17.61,0
handing out candy,19141,1.7,492,4.33,21.13,71.19
handing out candy to,19141,1.7,492,4.33,21.13,71.19
hard boiled egg,1129,74.62,155,12.58,10.61,1.12
hard boiled eggs,1129,74.62,155,12.58,10.61,1.12
having pizza,21299,43.17,266,11.39,9.69,33.33
heirloom tomato,11529,94.52,18,0.88,0.2,3.89
heirloom tomatoes,11529,94.52,18,0.88,0.2,3.89
herring,15040,64.16,203,23.03,11.59,0
home made cookies,18165,5.7,488,5.7,28.3,58.4
home made fried chicken,5007,49.39,289,22.54,17.35,9.42
homemade ice cream,19095,61,207,3.5,11,23.6
homemade pizza,21299,43.17,266,11.39,9.69,33.33
homemade tortillas,18363,45.89,218,5.7,2.85,44.64
honey baked ham,7938,69.94,122,17.93,2.37,7.27
honey chicken,36621,52.17,250,10.1,12.65,23.86
honeybaked ham,7938,69.94,122,17.93,2.37,7.27
honeydew,9184,89.82,36,0.54,0.14,9.09
hot cakes,18293,52.9,227,6.4,9.7,28.3
hot chicken,5007,49.39,289,22.54,17.35,9.42
hot dog,21118,53.96,247,10.6,14.84,18.4
hot dog cart,21118,53.96,247,10.6,14.84,18.4
hot dog eating,21118,53.96,247,10.6,14.84,18.4
hot dog eating contest,21118,53.96,247,10.6,14.84,18.4
hot dog stand,21118,53.96,247,10.6,14.84,18.4
hot dog stand http,21118,53.96,247,10.6,14.84,18.4
hot dogs,21118,53.96,247,10.6,14.84,18.4
hot dogs and,21118,53.96,247,10.6,14.84,18.4
hot pizza,21299,43.17,266,11.39,9.69,33.33
hot sausage,7064,49.78,339,19.43,28.36,0
hotcakes,18293,52.9,227,6.4,9.7,28.3
ice cream,19095,61,207,3.5,11,23.6
ice creammm,19095,61,207,3.5,11,23.6
ice creams,19095,61,207,3.5,11,23.6
italian beef,21125,58.97,190,13.26,6,20.51
italian beef sandwich,21125,58.97,190,13.26,6,20.51
italian sausage,7089,47.13,344,19.12,27.31,4.27
jack cheese,1025,41.01,373,24.48,30.28,0.68
jar of peanut butter,16398,1.81,588,25.09,50.39,19.56
jelly donut,18256,35.6,340,5.9,18.7,39
jerry''s cherry garcia,19089,57.2,249,3.5,16.2,22.29
jerry''s ice cream,19095,61,207,3.5,11,23.6
jumbo shrimp,15151,71.56,119,22.78,1.7,1.52
kale,11233,84.04,49,4.28,0.93,8.75
kale chips,11233,84.04,49,4.28,0.93,8.75
kettle corn,19436,6,381,2,1.4,90.06
key lime pie,18317,60.9,210,5.5,11.6,20.8
kfc chicken,21424,36.63,388,13,29.47,17.63
king cake,18358,22.7,362,5.4,13.2,56.1
king crab,15137,77.55,97,19.35,1.54,0
king crab legs,15137,77.55,97,19.35,1.54,0
kiwi yogurt,1122,74.1,105,4.86,1.41,18.6
kiwis,9148,83.07,61,1.14,0.52,14.66
kobe beef,13399,64.46,187,27.42,7.72,0
kobe beef burger,21107,38.49,295,14.74,11.24,33.71
korean fried chicken,5007,49.39,289,22.54,17.35,9.42
kung pao chicken,36619,74.78,129,9.76,6.98,6.87
lamb burger,17225,55.09,283,24.75,19.65,0
lamb chops,17305,64.08,188,27.63,7.8,0
large pizza,21299,43.17,266,11.39,9.69,33.33
large pizzas,21299,43.17,266,11.39,9.69,33.33
large pizzas and,21299,43.17,266,11.39,9.69,33.33
layer cake,18102,20.7,356,4.4,10.3,63.2
left over pizza,21299,43.17,266,11.39,9.69,33.33
leftover pizza,21299,43.17,266,11.39,9.69,33.33
lemon bar,18175,19.5,365,10.6,9.1,59.7
lemon bar w,18175,19.5,365,10.6,9.1,59.7
lemon bars,18175,19.5,365,10.6,9.1,59.7
lemon chicken,36617,57.08,226,10.77,11.76,19.15
lemon cookies,18175,19.5,365,10.6,9.1,59.7
lemon meringue pie,18321,43.3,285,3.8,12.9,39.1
lemon pepper chicken,36617,57.08,226,10.77,11.76,19.15
lentil,16070,69.64,116,9.02,0.38,20.13
lentils,16070,69.64,116,9.02,0.38,20.13
lettuce,11253,94.98,15,1.36,0.15,2.87
lettuce and tomato,11253,94.98,15,1.36,0.15,2.87
lettuce and tomato,11529,94.52,18,0.88,0.2,3.89
lettuces,11253,94.98,15,1.36,0.15,2.87
liks ice cream,19095,61,207,3.5,11,23.6
lima beans,11032,67.17,123,6.81,0.32,23.64
lime pie,18317,60.9,210,5.5,11.6,20.8
little red wagon corn dogs,22973,47.41,267,7.93,12.95,29.71
loaded baked potato,21132,65.02,151,6.16,8.66,14.86
loaf of bread,18064,34.53,270,10.37,3.44,49.46
lobster,15148,78.11,89,19,0.86,0
lobster dinner,15148,78.11,89,19,0.86,0
lobster http,15148,78.11,89,19,0.86,0
lobster tail,15148,78.11,89,19,0.86,0
lobster tails,15148,78.11,89,19,0.86,0
lobsters,15148,78.11,89,19,0.86,0
loves cake,18139,23.3,357,5.4,12.4,57.2
mac n cheese,32005,63.59,164,6.68,4.99,23.1
mac n'' cheese,32005,63.59,164,6.68,4.99,23.1
mac nd cheese,32005,63.59,164,6.68,4.99,23.1
mac-n-cheese,32005,63.59,164,6.68,4.99,23.1
macaroni,20100,62.13,158,5.8,0.93,30.86
macaroni and cheese,32005,63.59,164,6.68,4.99,23.1
macncheese,32005,63.59,164,6.68,4.99,23.1
made cookies,18165,5.7,488,5.7,28.3,58.4
made pancakes,18293,52.9,227,6.4,9.7,28.3
made pizza,21299,43.17,266,11.39,9.69,33.33
magnum ice cream,1237,46.3,331,4.1,24.1,24.5
make some pancakes,18293,52.9,227,6.4,9.7,28.3
makin pancakes,18293,52.9,227,6.4,9.7,28.3
making a cake,18139,23.3,357,5.4,12.4,57.2
making bacon,10124,12.32,541,37.04,41.78,1.43
making chicken nuggets,5321,48.59,296,15.27,19.82,14.09
making christmas cookies,18208,8.9,472,5.9,23.4,60
making christmas cookies with,18208,8.9,472,5.9,23.4,60
making cookies,18165,5.7,488,5.7,28.3,58.4
making cupcakes,18102,20.7,356,4.4,10.3,63.2
making noodles,20117,67.91,131,4,0.18,27.54
making pancakes,18293,52.9,227,6.4,9.7,28.3
making spaghetti,20121,62.13,158,5.8,0.93,30.86
mandarin oranges,9218,85.17,53,0.81,0.31,13.34
mango,9176,83.46,60,0.82,0.38,14.98
mango http,9176,83.46,60,0.82,0.38,14.98
mango salsa,6164,89.18,29,1.54,0.17,6.72
mango sorbet,19280,66.9,128,0.4,0,32.6
mangoes,9176,83.46,60,0.82,0.38,14.98
mangos,9176,83.46,60,0.82,0.38,14.98
maple bacon,10124,12.32,541,37.04,41.78,1.43
maple oatmeal,8130,7.53,365,9.92,5.36,73.28
margherita pizza,21299,43.17,266,11.39,9.69,33.33
martin''s potato chips,19411,2.28,542,6.56,36.4,50.81
mash potato,11657,78.48,83,1.91,0.57,17.57
mash potatoes,11657,78.48,83,1.91,0.57,17.57
mashed potato,11657,78.48,83,1.91,0.57,17.57
mashed potatoes,11657,78.48,83,1.91,0.57,17.57
mayonnaise,4025,21.65,680,0.96,74.85,0.57
mc chicken,21102,47.31,283,13.25,16.18,21.26
mcchicken,21102,47.31,283,13.25,16.18,21.26
mcchickens,21102,47.31,283,13.25,16.18,21.26
mcdougal''s chicken fingers,36015,48.01,270,19.93,14.34,15.2
medium pizza,21299,43.17,266,11.39,9.69,33.33
melted cheese,1026,50.01,300,22.17,22.35,2.19
milk and bread,18064,34.53,270,10.37,3.44,49.46
milk and cookies,18166,2.2,469,5.61,19.78,70.67
milk and eggs,1129,74.62,155,12.58,10.61,1.12
milk dud,19076,6.69,387,1.59,3.31,87.73
milk duds,19076,6.69,387,1.59,3.31,87.73
milk n cookies,18166,2.2,469,5.61,19.78,70.67
milks favorite cookie,18166,2.2,469,5.61,19.78,70.67
millet,20032,71.41,119,3.51,1,23.67
mini cookies,18165,5.7,488,5.7,28.3,58.4
mixed nuts,12135,1.75,594,17.3,51.45,25.35
mixed veggies,11583,82.08,64,3.33,0.52,13.46
mmm bacon,10124,12.32,541,37.04,41.78,1.43
mmm ice cream,19095,61,207,3.5,11,23.6
mmm pancakes,18293,52.9,227,6.4,9.7,28.3
mmm pizza,21299,43.17,266,11.39,9.69,33.33
mmmm bacon,10124,12.32,541,37.04,41.78,1.43
mmmm ice cream,19095,61,207,3.5,11,23.6
mmmm pizza,21299,43.17,266,11.39,9.69,33.33
mozzarella,1026,50.01,300,22.17,22.35,2.19
mozzarella cheese,1026,50.01,300,22.17,22.35,2.19
mozzarella sticks,36012,37.95,329,14.89,18.92,24.89
mushroom,11260,92.45,22,3.09,0.34,3.26
mushrooms,11260,92.45,22,3.09,0.34,3.26
mussels,15165,61.15,172,23.8,4.48,7.39
n'' cheese,1026,50.01,300,22.17,22.35,2.19
nacho cheese doritos,19057,1.5,514,8.15,26.07,61.74
national ice cream day,19095,61,207,3.5,11,23.6
natural spaghetti sauce,6976,87.39,51,1.41,1.48,8.06
never ending pasta bowl,20094,68.56,131,5.15,1.05,24.93
noodles,20117,67.91,131,4,0.18,27.54
noodles for,20117,67.91,131,4,0.18,27.54
noodles http,20117,67.91,131,4,0.18,27.54
noodles lol,20117,67.91,131,4,0.18,27.54
oatmeal,8123,84.03,68,2.37,1.36,11.67
oatmeal and coffee,8123,84.03,68,2.37,1.36,11.67
oatmeal cookies,18377,6.2,447,6.8,17.9,66.4
oatmeal for breakfast,8123,84.03,68,2.37,1.36,11.67
oatmeal http,8123,84.03,68,2.37,1.36,11.67
oatmeal raisin cookie,18184,6.4,435,6.5,16.2,68.4
oatmeal raisin cookies,18184,6.4,435,6.5,16.2,68.4
oatmeal w,8123,84.03,68,2.37,1.36,11.67
oats,20038,8.22,389,16.89,6.9,66.27
okra,11278,89.58,33,1.93,0.19,7.45
olive oil,4053,0,884,0,100,0
onion,11282,89.11,40,1.1,0.1,9.34
onion chips,19043,1.8,531,8.1,33.9,51.5
onion http,11282,89.11,40,1.1,0.1,9.34
onion rings,11296,28.5,407,5.34,26.7,38.16
onions,11282,89.11,40,1.1,0.1,9.34
orange and,9200,86.75,47,0.94,0.12,11.75
orange chicken,36617,57.08,226,10.77,11.76,19.15
orange creamsicle,43450,72.57,115,1.41,1.41,24.11
orange slices,9200,86.75,47,0.94,0.12,11.75
orange w,9200,86.75,47,0.94,0.12,11.75
oranges,9200,86.75,47,0.94,0.12,11.75
oranges http,9200,86.75,47,0.94,0.12,11.75
order a pizza,21299,43.17,266,11.39,9.69,33.33
order a pizza and,21299,43.17,266,11.39,9.69,33.33
order me a pizza,21299,43.17,266,11.39,9.69,33.33
order pizza,21299,43.17,266,11.39,9.69,33.33
order some pizza,21299,43.17,266,11.39,9.69,33.33
ordered a pizza,21299,43.17,266,11.39,9.69,33.33
ordered a pizza and,21299,43.17,266,11.39,9.69,33.33
ordered pizza,21299,43.17,266,11.39,9.69,33.33
