food_phrase,item_num,water,cals,protein,lipid,carb
ordering a pizza,21299,43.17,266,11.39,9.69,33.33
ordering pizza,21299,43.17,266,11.39,9.69,33.33
orders pizza,21299,43.17,266,11.39,9.69,33.33
oreo cheesecake,18147,45.6,321,5.5,22.5,25.5
oreo cookies,18166,2.2,469,5.61,19.78,70.67
oreos and milk,18166,2.2,469,5.61,19.78,70.67
our pizza,21299,43.17,266,11.39,9.69,33.33
oyster,15231,64.12,163,18.9,4.6,9.9
oysters,15231,64.12,163,18.9,4.6,9.9
pan cakes,18293,52.9,227,6.4,9.7,28.3
pancake,18293,52.9,227,6.4,9.7,28.3
pancake batter,18293,52.9,227,6.4,9.7,28.3
pancake breakfast,18293,52.9,227,6.4,9.7,28.3
pancake http,18293,52.9,227,6.4,9.7,28.3
pancake mix,18289,9.05,368,9.77,3.1,73.65
pancake time,18293,52.9,227,6.4,9.7,28.3
pancakes,18293,52.9,227,6.4,9.7,28.3
pancakes and bacon,18293,52.9,227,6.4,9.7,28.3
pancakes and bacon,10124,12.32,541,37.04,41.78,1.43
pancakes and coffee,18293,52.9,227,6.4,9.7,28.3
pancakes and eggs,1128,69.47,196,13.61,14.84,0.83
pancakes and eggs,18293,52.9,227,6.4,9.7,28.3
pancakes for,18293,52.9,227,6.4,9.7,28.3
pancakes for breakfast,18293,52.9,227,6.4,9.7,28.3
pancakes for dinner,18293,52.9,227,6.4,9.7,28.3
pancakes for lunch,18293,52.9,227,6.4,9.7,28.3
pancakes http,18293,52.9,227,6.4,9.7,28.3
pancakes lol,18293,52.9,227,6.4,9.7,28.3
pancakes now,18293,52.9,227,6.4,9.7,28.3
pancakes with,18293,52.9,227,6.4,9.7,28.3
papaya,9226,88.06,43,0.47,0.26,10.82
parmesan,1033,29.16,392,35.75,25.83,3.22
parmesan cheese,1033,29.16,392,35.75,25.83,3.22
pasta,20094,68.56,131,5.15,1.05,24.93
pasta and pizza,20094,68.56,131,5.15,1.05,24.93
pasta and pizza,21299,43.17,266,11.39,9.69,33.33
pasta bowl,20094,68.56,131,5.15,1.05,24.93
pasta dinner,20094,68.56,131,5.15,1.05,24.93
pasta for dinner,20094,68.56,131,5.15,1.05,24.93
pasta for lunch,20094,68.56,131,5.15,1.05,24.93
pasta http,20094,68.56,131,5.15,1.05,24.93
pasta night,20094,68.56,131,5.15,1.05,24.93
pasta sauce,6931,87.39,49,1.41,1.48,7.53
pasta time,20094,68.56,131,5.15,1.05,24.93
pasta tonight,20094,68.56,131,5.15,1.05,24.93
pasta w,20094,68.56,131,5.15,1.05,24.93
pastas,20094,68.56,131,5.15,1.05,24.93
pastries,18246,27.1,371,5.4,18.5,47.8
pastry,18246,27.1,371,5.4,18.5,47.8
pastry shop,18246,27.1,371,5.4,18.5,47.8
pastry shop w,18246,27.1,371,5.4,18.5,47.8
peach lol,9236,88.87,39,0.91,0.25,9.54
peach pie,18323,54.4,223,1.9,10,32.9
peach yogurt,1122,74.1,105,4.86,1.41,18.6
peaches,9236,88.87,39,0.91,0.25,9.54
peaches and cream oatmeal,8225,6.56,379,8.3,6.37,75.42
peaches http,9236,88.87,39,0.91,0.25,9.54
peanut brittle,19148,0.7,486,7.57,18.98,71.24
peanut butter,16398,1.81,588,25.09,50.39,19.56
peanutbutter,16398,1.81,588,25.09,50.39,19.56
peanuts,16087,6.5,567,25.8,49.24,16.13
pear,9252,83.96,57,0.36,0.14,15.23
pears,9252,83.96,57,0.36,0.14,15.23
peas and carrots,11322,84.36,53,3.4,0.47,11.15
pecan http,12142,3.52,691,9.17,71.97,13.86
pecan pie,18325,19.5,412,4.9,22.2,52.2
pecans,12142,3.52,691,9.17,71.97,13.86
penny candy,19107,1.3,394,0,0.2,98
pepper jack cheese,1025,41.01,373,24.48,30.28,0.68
pepperjack cheese,1025,41.01,373,24.48,30.28,0.68
pepperoni pizza,21302,41.77,282,11.74,11.91,31.98
personal pan pizza,21272,43.4,280,11.73,12.56,29.93
peruvian chicken,5000,67.78,144,28.04,3.57,0
philly cheese steak,21123,51.07,225,14.87,6.9,25.47
philly cheese steaks,21123,51.07,225,14.87,6.9,25.47
philly cheesesteak,21123,51.07,225,14.87,6.9,25.47
philly cheesesteaks,21123,51.07,225,14.87,6.9,25.47
philly''s cheesesteak,21123,51.07,225,14.87,6.9,25.47
pickled egg,1129,74.62,155,12.58,10.61,1.12
pie pizza,21299,43.17,266,11.39,9.69,33.33
piece chicken nugget,5321,48.59,296,15.27,19.82,14.09
piece chicken nuggets,5321,48.59,296,15.27,19.82,14.09
piece of candy,19141,1.7,492,4.33,21.13,71.19
pieces of bacon,10124,12.32,541,37.04,41.78,1.43
pieces of chicken,5013,63.79,190,28.93,7.41,0
pieces of pizza,21299,43.17,266,11.39,9.69,33.33
pineapple,9266,86,50,0.54,0.12,13.12
pineapple upside down cake,18119,32.3,319,3.5,12.1,50.5
pineapples,9266,86,50,0.54,0.12,13.12
pinto beans,16043,62.95,143,9.01,0.65,26.22
pistachios,12151,3.91,562,20.27,45.39,27.51
pita,18041,32.1,275,9.1,1.2,55.7
pita bread,18041,32.1,275,9.1,1.2,55.7
pita chips,25037,2,457,11.79,15.2,68.26
pita chips and hummus,25037,2,457,11.79,15.2,68.26
pita chips and hummus,16137,64.87,177,4.86,8.59,20.12
pitas,18041,32.1,275,9.1,1.2,55.7
pizza,21299,43.17,266,11.39,9.69,33.33
pizza and,21299,43.17,266,11.39,9.69,33.33
pizza and a movie,21299,43.17,266,11.39,9.69,33.33
pizza and beer,21299,43.17,266,11.39,9.69,33.33
pizza and beer with,21299,43.17,266,11.39,9.69,33.33
pizza and football,21299,43.17,266,11.39,9.69,33.33
pizza and movie night,21299,43.17,266,11.39,9.69,33.33
pizza and pasta,21299,43.17,266,11.39,9.69,33.33
pizza and pasta,20094,68.56,131,5.15,1.05,24.93
pizza and salad,21299,43.17,266,11.39,9.69,33.33
pizza and salad,21052,95.51,16,1.25,0.07,3.22
pizza and sides at papa john''s,21299,43.17,266,11.39,9.69,33.33
pizza and wings,21299,43.17,266,11.39,9.69,33.33
pizza before,21299,43.17,266,11.39,9.69,33.33
pizza box,21299,43.17,266,11.39,9.69,33.33
pizza buffet,21299,43.17,266,11.39,9.69,33.33
pizza by the slice,21299,43.17,266,11.39,9.69,33.33
pizza dinner,21299,43.17,266,11.39,9.69,33.33
pizza ever,21299,43.17,266,11.39,9.69,33.33
pizza for,21299,43.17,266,11.39,9.69,33.33
pizza for breakfast,21299,43.17,266,11.39,9.69,33.33
pizza for dinner,21299,43.17,266,11.39,9.69,33.33
pizza for lunch,21299,43.17,266,11.39,9.69,33.33
pizza from,21299,43.17,266,11.39,9.69,33.33
pizza hit the spot,21299,43.17,266,11.39,9.69,33.33
pizza http,21299,43.17,266,11.39,9.69,33.33
pizza in,21299,43.17,266,11.39,9.69,33.33
pizza in the oven,21299,43.17,266,11.39,9.69,33.33
pizza n beer,21299,43.17,266,11.39,9.69,33.33
pizza night,21299,43.17,266,11.39,9.69,33.33
pizza on,21299,43.17,266,11.39,9.69,33.33
pizza pie,21299,43.17,266,11.39,9.69,33.33
pizza rolls,21224,46.28,268,10.36,12.28,29.02
pizza sauce,21299,43.17,266,11.39,9.69,33.33
pizza slice,21299,43.17,266,11.39,9.69,33.33
pizza tho,21299,43.17,266,11.39,9.69,33.33
pizza though,21299,43.17,266,11.39,9.69,33.33
pizza tonight,21299,43.17,266,11.39,9.69,33.33
pizza w,21299,43.17,266,11.39,9.69,33.33
pizza with,21299,43.17,266,11.39,9.69,33.33
pizzas,21299,43.17,266,11.39,9.69,33.33
plantain,9277,65.28,122,1.3,0.37,31.89
plantains,9277,65.28,122,1.3,0.37,31.89
poached egg,1131,75.85,143,12.51,9.47,0.71
poached eggs,1131,75.85,143,12.51,9.47,0.71
pop corn,19034,3.32,387,12.94,4.54,77.9
pop some popcorn,19034,3.32,387,12.94,4.54,77.9
popcorn,19034,3.32,387,12.94,4.54,77.9
popcorn chicken,21422,35.62,351,17.67,21.74,21.18
popcorn lol,19034,3.32,387,12.94,4.54,77.9
popcorn ready,19034,3.32,387,12.94,4.54,77.9
popcorn shrimp,15150,52.86,242,21.39,12.28,11.47
popeye''s chicken,21444,26.43,460,12.22,35.39,23.1
popeye''s chicken http,21444,26.43,460,12.22,35.39,23.1
popeye''s fried chicken,21444,26.43,460,12.22,35.39,23.1
popeyes chicken,21444,26.43,460,12.22,35.39,23.1
pork,10011,60.66,211,29.41,9.44,0
pork and beans,16009,71.46,106,5.19,1.55,19.99
pork belly,10005,36.74,518,9.34,53.01,0
pork chop,10030,61.45,231,23.72,14.35,0
pork chops,10030,61.45,231,23.72,14.35,0
pork fried rice,36602,60.99,163,4.67,2.27,30.99
pork n beans,16009,71.46,106,5.19,1.55,19.99
pork ribs,13390,59.3,220,27.53,11.4,0
pork roast,10043,63.65,194,28.58,7.95,0
pork shoulder,10073,60.64,230,25.33,13.54,0
pork tenderloin,10061,69.45,143,26.17,3.51,0
porkchop,10030,61.45,231,23.72,14.35,0
porkchops,10030,61.45,231,23.72,14.35,0
potato,11352,79.34,77,2.02,0.09,17.47
potato chip,19411,2.28,542,6.56,36.4,50.81
potato chips,19411,2.28,542,6.56,36.4,50.81
potato fries,11403,62.48,164,2.66,5.22,27.74
potato salad,11414,76,143,2.68,8.2,11.17
potato skins,11364,47.31,198,4.29,0.1,46.06
potato wedges,11674,74.89,93,2.5,0.13,21.15
potatoe,11352,79.34,77,2.02,0.09,17.47
potatoe salad,11414,76,143,2.68,8.2,11.17
potatoes lol,11352,79.34,77,2.02,0.09,17.47
potatos,11352,79.34,77,2.02,0.09,17.47
pound cake,18121,23.1,389,5.2,17.9,52.5
pretzels,19047,3.44,380,10.34,2.63,79.76
provolone cheese,1035,40.95,351,25.58,26.62,2.14
prune,9291,30.92,240,2.18,0.38,63.88
prunes,9291,30.92,240,2.18,0.38,63.88
pudding,19201,71.66,130,1.45,3.78,22.6
pudding cup,19201,71.66,130,1.45,3.78,22.6
pulled pork,22972,60.99,168,13.19,4.42,18.74
pumpkin cheesecake,18147,45.6,321,5.5,22.5,25.5
pumpkin pie,18327,58.5,204,4.5,9.3,26.4
pumpkin pies,18327,58.5,204,4.5,9.3,26.4
pumpkin seeds,12014,5.23,559,30.23,49.05,10.71
pumpkin spice,2035,8.46,342,5.76,12.6,69.28
quaker oats,20038,8.22,389,16.89,6.9,66.27
quarter pounder with cheese,21089,38.7,303,15.13,13.93,29.89
quinoa,20137,71.61,120,4.4,1.92,21.3
rack of lamb,17004,61.96,206,28.22,9.52,0
rack of ribs,13390,59.3,220,27.53,11.4,0
rainbow trout,15116,70.5,150,22.92,5.82,0
raisin,9298,15.43,299,3.07,0.46,79.18
raisin bran,8060,10.4,314,7.72,2.72,77.29
raising cane''s chicken fingers,36015,48.01,270,19.93,14.34,15.2
raisins,9298,15.43,299,3.07,0.46,79.18
raspberries,9302,85.75,52,1.2,0.65,11.94
raspberry,9302,85.75,52,1.2,0.65,11.94
raw chicken,5011,75.46,119,21.39,3.08,0
raw oysters,15171,82.06,81,9.45,2.3,4.95
red apple,9003,85.56,52,0.26,0.17,13.81
red onion,11282,89.11,40,1.1,0.1,9.34
red pepper,11821,92.21,31,0.99,0.3,6.03
red potatoes,11355,80.96,70,1.89,0.14,15.9
red snapper,15102,70.35,128,26.3,1.72,0
red velvet cake,18102,20.7,356,4.4,10.3,63.2
red velvet cheesecake,18147,45.6,321,5.5,22.5,25.5
red velvet cupcake,18102,20.7,356,4.4,10.3,63.2
red velvet cupcakes,18102,20.7,356,4.4,10.3,63.2
reese''s peanut butter cup,19150,1.44,515,10.24,30.53,55.36
reese''s peanut butter cups,19150,1.44,515,10.24,30.53,55.36
reese''s peanut butter eggs,19150,1.44,515,10.24,30.53,55.36
ribs,13390,59.3,220,27.53,11.4,0
ribs and,13390,59.3,220,27.53,11.4,0
ribs http,13390,59.3,220,27.53,11.4,0
ribs lol,13390,59.3,220,27.53,11.4,0
ribs w,13390,59.3,220,27.53,11.4,0
rice cakes,19051,5.8,387,8.2,2.8,81.5
rice pudding,19193,73.34,118,3.53,2.65,19.4
ricecakes,19051,5.8,387,8.2,2.8,81.5
ricotta,1036,71.7,174,11.26,12.98,3.04
roast beef,13870,61.6,218,26.41,11.64,0
roast beef sandwich,21121,48.64,249,15.47,9.9,24.06
roast chicken,5013,63.79,190,28.93,7.41,0
roast pork,10011,60.66,211,29.41,9.44,0
roasted butternut squash,11486,87.8,40,0.9,0.09,10.49
roasted chicken,5013,63.79,190,28.93,7.41,0
roasted corn,11167,76.05,86,3.27,1.35,18.7
roasted potatoes,11674,74.89,93,2.5,0.13,21.15
roasted red pepper,11916,91.25,18,0.8,0.3,3.9
rock candy,19107,1.3,394,0,0.2,98
roma tomatoes,11529,94.52,18,0.88,0.2,3.89
romaine,11251,94.61,17,1.23,0.3,3.29
rotisserie chicken,5000,67.78,144,28.04,3.57,0
salmon,15209,59.62,182,25.44,8.13,0
sardine,15089,66.86,185,20.86,10.45,0.54
sardine can,15089,66.86,185,20.86,10.45,0.54
sardines,15089,66.86,185,20.86,10.45,0.54
sausage,7064,49.78,339,19.43,28.36,0
sausage biscuit,21009,32.82,371,9.67,24.42,29.99
sausage biscuits,21009,32.82,371,9.67,24.42,29.99
sausage gravy,6319,78.3,119,3.39,10.17,5.08
sausage links,7064,49.78,339,19.43,28.36,0
sausage mcmuffin,21358,38.94,333,12.66,21.06,24.52
sausages,7064,49.78,339,19.43,28.36,0
scalloped potatoes,11372,80.94,88,2.87,3.68,10.78
scallops,90240,70.25,111,20.54,0.84,5.41
scoops ice cream,19095,61,207,3.5,11,23.6
scout cookies,28035,2,502,4.5,24.2,67.3
scrambled egg,1132,76.4,149,9.99,10.98,1.61
scrambled eggs,1132,76.4,149,9.99,10.98,1.61
scrambled eggs with,1132,76.4,149,9.99,10.98,1.61
scream for ice cream,19095,61,207,3.5,11,23.6
sea bass,15092,72.14,124,23.63,2.56,0
seared ahi tuna,15118,59.09,184,29.91,6.28,0
seared scallops,90240,70.25,111,20.54,0.84,5.41
seared tuna,15118,59.09,184,29.91,6.28,0
self serve frozen yogurt,19293,65.3,159,4,5.6,24.2
sesame seeds,12023,4.69,573,17.73,49.67,23.45
sharp cheddar,1009,36.75,403,24.9,33.14,1.28
short cake,18126,28.4,346,6.1,14.2,48.5
short ribs,13390,59.3,220,27.53,11.4,0
shortcake,18126,28.4,346,6.1,14.2,48.5
shortcakes,18126,28.4,346,6.1,14.2,48.5
shredded cheese,1026,50.01,300,22.17,22.35,2.19
shrimp,15151,71.56,119,22.78,1.7,1.52
shrimp and grits,15151,71.56,119,22.78,1.7,1.52
shrimp and grits,8164,84.36,65,1.23,0.39,13.86
shrimp cocktail,15151,71.56,119,22.78,1.7,1.52
shrimp fried rice,36602,60.99,163,4.67,2.27,30.99
shrimp lol,15151,71.56,119,22.78,1.7,1.52
shrimp pasta,21055,80.37,91,3.94,5,7.67
shrimp salad,21056,89.1,45,6.15,1.05,2.8
shrimp w,15151,71.56,119,22.78,1.7,1.52
shrimps,15151,71.56,119,22.78,1.7,1.52
side of bacon,10124,12.32,541,37.04,41.78,1.43
simply lemonade,14543,88.88,43,0.05,0.15,10.81
slab of ribs,13390,59.3,220,27.53,11.4,0
slice of cake,18139,23.3,357,5.4,12.4,57.2
slice of cheesecake,18147,45.6,321,5.5,22.5,25.5
slice of pizza,21299,43.17,266,11.39,9.69,33.33
sliced bread,18064,34.53,270,10.37,3.44,49.46
slices of bacon,10124,12.32,541,37.04,41.78,1.43
slices of cheese,1009,36.75,403,24.9,33.14,1.28
slices of pizza,21299,43.17,266,11.39,9.69,33.33
smashed potatoes,11657,78.48,83,1.91,0.57,17.57
smell bacon,10124,12.32,541,37.04,41.78,1.43
smell chicken,5013,63.79,190,28.93,7.41,0
smell of bacon,10124,12.32,541,37.04,41.78,1.43
smells like bacon,10124,12.32,541,37.04,41.78,1.43
smoke sausage,7064,49.78,339,19.43,28.36,0
smoked ham,7216,75.8,99,16.6,3.6,0.1
smoked salmon,15179,72,117,18.28,4.32,0
smoked sausage,7064,49.78,339,19.43,28.36,0
smoked turkey,43366,59.5,221,27.4,12.41,0
snapper,15102,70.35,128,26.3,1.72,0
snickers ice cream bar,43506,43.1,323,4.4,20.2,30.9
snickers ice cream bars,43506,43.1,323,4.4,20.2,30.9
snow crab,15137,77.55,97,19.35,1.54,0
soft pretzels,43109,15,338,8.2,3.1,69.39
soft serve ice cream,19090,59.8,222,4.1,13,22.2
soft shell crab,15140,79.69,83,17.88,0.74,0
some chicken,5013,63.79,190,28.93,7.41,0
some chicken noodle soup,6419,93.82,25,1.27,0.95,2.95
some ice cream,19095,61,207,3.5,11,23.6
some pizza,21299,43.17,266,11.39,9.69,33.33
sour candy,19107,1.3,394,0,0.2,98
sour chicken,36621,52.17,250,10.1,12.65,23.86
sourdough pizza,21299,43.17,266,11.39,9.69,33.33
spaghetti,20121,62.13,158,5.8,0.93,30.86
spaghetti and meatballs,22912,79.31,97,4.46,4,10.89
spaghetti for dinner,20121,62.13,158,5.8,0.93,30.86
spaghetti squash,11492,91.6,31,0.64,0.57,6.91
spaghetti tonight,20121,62.13,158,5.8,0.93,30.86
spaghetti w,20121,62.13,158,5.8,0.93,30.86
spicy chicken,21418,47.11,253,19.61,11.2,18.52
spicy chicken sandwich,21102,47.31,283,13.25,16.18,21.26
spicy sausage,7064,49.78,339,19.43,28.36,0
spinach,11457,91.4,23,2.86,0.39,3.63
spinach and,11457,91.4,23,2.86,0.39,3.63
spinach and feta,11457,91.4,23,2.86,0.39,3.63
spinach and feta,1019,55.22,264,14.21,21.28,4.09
spinach salad,11457,91.4,23,2.86,0.39,3.63
split pea soup,6192,82.4,71,3.85,0.92,11.83
steak and eggs,1128,69.47,196,13.61,14.84,0.83
steak and eggs,13407,58.09,214,34,7.67,0
steak and lobster,15148,78.11,89,19,0.86,0
steak and lobster,13407,58.09,214,34,7.67,0
steak and potatoes,11352,79.34,77,2.02,0.09,17.47
steak and potatoes,13407,58.09,214,34,7.67,0
steak and shrimp,15151,71.56,119,22.78,1.7,1.52
steak and shrimp,13407,58.09,214,34,7.67,0
steak egg and cheese bagel,21411,44.9,282,15.95,14.07,22.99
steak n eggs,1128,69.47,196,13.61,14.84,0.83
steak n eggs,13407,58.09,214,34,7.67,0
steamed broccoli,11742,89.25,35,2.38,0.41,7.18
steamed shrimp,15151,71.56,119,22.78,1.7,1.52
steamed veggies,11583,82.08,64,3.33,0.52,13.46
stone crab,15137,77.55,97,19.35,1.54,0
strawberries,9316,90.95,32,0.67,0.3,7.68
strawberry cheesecake,18147,45.6,321,5.5,22.5,25.5
strawberry cream cheese,43276,58.5,295,7.1,28.6,3.5
strawberry ice cream,19271,60,192,3.2,8.4,27.6
strawberry jam,19297,30.47,278,0.37,0.07,68.86
strawberry patch,9316,90.95,32,0.67,0.3,7.68
strawberry picking,9316,90.95,32,0.67,0.3,7.68
strawberry short cake,18126,28.4,346,6.1,14.2,48.5
strawberry shortcake,18126,28.4,346,6.1,14.2,48.5
strawberry yogurt,1122,74.1,105,4.86,1.41,18.6
string cheese,1026,50.01,300,22.17,22.35,2.19
style pizza,21299,43.17,266,11.39,9.69,33.33
sugar cookie,18208,8.9,472,5.9,23.4,60
sugar cookies,18208,8.9,472,5.9,23.4,60
sum chicken,5013,63.79,190,28.93,7.41,0
sum ice cream,19095,61,207,3.5,11,23.6
sum pancakes,18293,52.9,227,6.4,9.7,28.3
sum pizza,21299,43.17,266,11.39,9.69,33.33
sundried tomato,11955,14.56,258,14.11,2.97,55.76
sundried tomatoes,11955,14.56,258,14.11,2.97,55.76
sunflower seeds,12036,4.73,584,20.78,51.46,20
sweet and sour chicken,36621,52.17,250,10.1,12.65,23.86
sweet corn,11167,76.05,86,3.27,1.35,18.7
sweet potato,11507,77.28,86,1.57,0.05,20.12
sweet potatoe,11507,77.28,86,1.57,0.05,20.12
sweet potatoes,11507,77.28,86,1.57,0.05,20.12
swiss chard,11147,92.66,19,1.8,0.2,3.74
swiss cheese,1040,37.12,380,26.93,27.8,5.38
swordfish,15111,68.26,172,23.45,7.93,0
tangerines,9218,85.17,53,0.81,0.31,13.34
taro,11518,70.64,112,1.5,0.2,26.46
taste like chicken,5013,63.79,190,28.93,7.41,0
taste this chicken,5013,63.79,190,28.93,7.41,0
tastes like chicken,5013,63.79,190,28.93,7.41,0
tasty pizza,21299,43.17,266,11.39,9.69,33.33
tempeh,16174,59.56,196,18.19,11.38,9.35
thanksgiving turkey,5220,68.4,135,30.06,0.74,0
their chicken,5013,63.79,190,28.93,7.41,0
these cookies,18165,5.7,488,5.7,28.3,58.4
thin crust pizza,21301,38.92,302,12.85,13.95,31.2
those cookies,18165,5.7,488,5.7,28.3,58.4
those cupcakes,18102,20.7,356,4.4,10.3,63.2
those eggs,1129,74.62,155,12.58,10.61,1.12
those pancakes,18293,52.9,227,6.4,9.7,28.3
tofu,16126,84.95,70,8.19,4.17,1.69
tomato,11529,94.52,18,0.88,0.2,3.89
tomato http,11529,94.52,18,0.88,0.2,3.89
tomato sauce,43217,91.12,29,1.32,0.18,6.69
tomatoe,11529,94.52,18,0.88,0.2,3.89
tomatoes,11529,94.52,18,0.88,0.2,3.89
tomatos,11529,94.52,18,0.88,0.2,3.89
topping pizza,21299,43.17,266,11.39,9.69,33.33
tortilla,18363,45.89,218,5.7,2.85,44.64
tortilla chips,25028,1.94,499,6.72,22.74,66.89
tortillas,18363,45.89,218,5.7,2.85,44.64
trout,15219,63.36,190,26.63,8.47,0
tuna,15118,59.09,184,29.91,6.28,0
tuna fish,15118,59.09,184,29.91,6.28,0
tuna salad,15128,63.16,187,16.04,9.26,9.41
tunafish,15118,59.09,184,29.91,6.28,0
turkey,5220,68.4,135,30.06,0.74,0
turkey and,5220,68.4,135,30.06,0.74,0
turkey bacon,42130,32.6,382,29.6,27.9,3.1
turkey breast,5220,68.4,135,30.06,0.74,0
turkey burger,5670,58.25,249,25.88,16.2,0
turkey burgers,5670,58.25,249,25.88,16.2,0
turkey dinner,5220,68.4,135,30.06,0.74,0
turkey for,5220,68.4,135,30.06,0.74,0
turkey is,5220,68.4,135,30.06,0.74,0
turkey is done,5220,68.4,135,30.06,0.74,0
turkey leg,5194,61.19,208,27.87,9.82,0.13
turkey legs,5194,61.19,208,27.87,9.82,0.13
turkey necks,5180,69.47,162,22.48,7.36,0
turkey on,5220,68.4,135,30.06,0.74,0
turkey sausage,7958,65.06,196,23.89,10.44,0
turkey today,5220,68.4,135,30.06,0.74,0
turkey tomorrow,5220,68.4,135,30.06,0.74,0
turkey wings,5228,65.6,163,30.85,3.44,0
turnip,11564,91.87,28,0.9,0.1,6.43
turnip greens,11568,89.67,32,1.5,0.3,7.13
turnips,11564,91.87,28,0.9,0.1,6.43
two eggs,1129,74.62,155,12.58,10.61,1.12
unlimited pancakes,18293,52.9,227,6.4,9.7,28.3
vanilla ice cream,19095,61,207,3.5,11,23.6
veal,17136,62.66,202,25.14,10.45,0
veals,17136,62.66,202,25.14,10.45,0
veggie,11583,82.08,64,3.33,0.52,13.46
veggie bowl,11583,82.08,64,3.33,0.52,13.46
veggie burger,16147,61.21,177,15.7,6.3,14.27
veggie burgers,16147,61.21,177,15.7,6.3,14.27
veggie burrito,21060,52.53,206,6.48,6.22,32.92
veggies,11583,82.08,64,3.33,0.52,13.46
velvet cake,18102,20.7,356,4.4,10.3,63.2
velvet cupcake,18102,20.7,356,4.4,10.3,63.2
velvet cupcakes,18102,20.7,356,4.4,10.3,63.2
venison,17347,67.2,149,29.9,2.35,0
vienna sausages,7083,64.9,230,10.5,19.4,2.6
waiting on my pizza,21299,43.17,266,11.39,9.69,33.33
waiting on this pizza,21299,43.17,266,11.39,9.69,33.33
walnuts,12155,4.07,654,15.23,65.21,13.71
want a cookie,18165,5.7,488,5.7,28.3,58.4
want some pizza,21299,43.17,266,11.39,9.69,33.33
want sum candy,19141,1.7,492,4.33,21.13,71.19
want sum donuts,18248,22.88,418,5.87,23.55,45.63
want sum ice cream,19095,61,207,3.5,11,23.6
want sum pancakes,18293,52.9,227,6.4,9.7,28.3
warm bread,18064,34.53,270,10.37,3.44,49.46
warm cookies,18165,5.7,488,5.7,28.3,58.4
watermelon,9326,91.45,30,0.61,0.15,7.55
watermelon arizona,14651,88.1,46,0.13,0.11,11.35
watermelons,9326,91.45,30,0.61,0.15,7.55
wedding cake,18102,20.7,356,4.4,10.3,63.2
wendy''s old fashioned hamburgers,21241,48.25,243,12.62,8.75,28.45
wheat bread,18064,34.53,270,10.37,3.44,49.46
white bread,18069,36.34,265,9.15,3.19,49.06
white cheddar popcorn,19040,2.5,526,9.3,33.2,51.6
white rice,20055,76.63,97,2.02,0.19,21.09
whole chicken,5013,63.79,190,28.93,7.41,0
whole pizza,21299,43.17,266,11.39,9.69,33.33
whole wheat pancakes,18300,52.8,208,8.5,6.5,29.4
whole wheat toast,18076,24.25,306,16.27,4.07,51.16
wild rice,20089,73.93,101,3.99,0.34,21.34
wine and cheese,1026,50.01,300,22.17,22.35,2.19
wit cheese,1026,50.01,300,22.17,22.35,2.19
wonderbread,18069,36.34,265,9.15,3.19,49.06
wood fired pizza,21299,43.17,266,11.39,9.69,33.33
worth of pizza,21299,43.17,266,11.39,9.69,33.33
wrapped in bacon,10124,12.32,541,37.04,41.78,1.43
xmas cookies,18208,8.9,472,5.9,23.4,60
yellow cake,18146,25.1,361,5.3,14.6,53
yogurt http,1117,85.07,63,5.25,1.55,7.04
yummy chicken,5013,63.79,190,28.93,7.41,0
yummy noodles,20117,67.91,131,4,0.18,27.54
zebra cakes,18128,19.6,374,3.47,11.54,64.03
zucchini,11477,94.79,17,1.21,0.32,3.11
